Language,English,Afrikaans,Amharic,Arabic,Belarusian,Bengali,Bulgarian,Burmese,Catalan,Khmer,Chinese,Croatian,Czech,Danish,Dutch,Estonian,Finnish,French,Georgian,German,Greek,Hausa,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Irish,Italian,Kazakh,Korean,Kurdish,Latvian,Latin,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Marathi,Norwegian,Persian,Polish,Portuguese,Romanian,Russian,Serbian,Sindhi,Sinhala,Spanish,Swahili,Swedish,Tamil,Telugu,Thai,Turkish,Ukrainian,Urdu,Uzbek,Vietnamese
English,1.0,0.9032710276809913,0.8794428633751664,0.8928584109575016,0.8790221430964823,0.8845449222598853,0.9089089588525089,0.8513658681325922,0.907948028261365,0.8791480310888122,0.8742813653946024,0.909022068082434,0.9047823080890527,0.9169797635641443,0.8786198508519328,0.8860561272264255,0.902294302907076,0.9027551404939953,0.8851550204898017,0.8821510616545898,0.897722882287772,0.8541293610495956,0.906106510630633,0.864290109700373,0.9012197007775226,0.8790294848315783,0.8805219965948282,0.886816195512492,0.9021301389409526,0.8763668071368468,0.861466002218324,0.8569433729519567,0.879959776391803,0.7456816540331718,0.8882315875757634,0.8873660486357651,0.8443446772795187,0.8839785864541163,0.880473335807612,0.8833667025353107,0.8926811273935885,0.8819807594383811,0.8727765729929632,0.888875668680496,0.8729580948370006,0.8734288801551128,0.8981218470169722,0.8509597304003839,0.8841976879116654,0.9117598571914025,0.8766975682850274,0.886560288032531,0.8794882112081518,0.8769992495531973,0.8206861567440024,0.8593514988794065,0.8776640249546163,0.8811268049663474,0.8704820332149268,0.8594014378693909
Afrikaans,0.9032710276809913,1.0,0.8726744097295096,0.8809488751911895,0.9021488064689595,0.9124118383684807,0.9169489027249741,0.8380883230297105,0.9145149600477739,0.9050160993902737,0.85960798710589,0.9102315440591902,0.918408271834529,0.9342118559562832,0.9354093422621963,0.9200102796327767,0.9070934096494713,0.9344613135898506,0.8931210542683664,0.9250006552050005,0.918444130776911,0.8492965427229834,0.9138079254225092,0.9086493701640961,0.9027881861242744,0.9238636969905886,0.9202513766005698,0.9143137380829921,0.9056213212966369,0.8901665698833215,0.8759220532579503,0.8503136110623233,0.9233112735685416,0.696663775887141,0.9157821348234788,0.9232400277689006,0.8296764844834117,0.9218542200846243,0.8958790269359427,0.9122104143251923,0.9395680670254865,0.9074750866276731,0.9139792720591706,0.932151580089137,0.9244745003654322,0.9144014191296342,0.9165095068245087,0.8469029661219378,0.9076896328601216,0.9229445863896031,0.8974378664756574,0.9368169339102524,0.9076763400437867,0.905313249235757,0.8637976632406241,0.8948694160046735,0.9194056991605919,0.9108408214714393,0.8726849737826522,0.9075189590623733
Amharic,0.8794428633751664,0.8726744097295096,1.0,0.855221758040744,0.8559516177959346,0.8701014802503175,0.8694708842382485,0.826071797022883,0.8690490031926309,0.8571216814960764,0.832784108497217,0.8633754179031353,0.8691986299458451,0.8685432117438933,0.8569693927549445,0.8616500485120627,0.8573526881806479,0.8673991154869674,0.8623167872944557,0.8571624457381133,0.8678947144628961,0.8236937267617814,0.8677640151682139,0.8542049111842067,0.8587068734130865,0.8626243687401984,0.8547882549458192,0.8593766096858895,0.8579824731672974,0.8634184622230955,0.8355601096997552,0.834944110957227,0.8644006771325027,0.7029333428390219,0.8644345154075191,0.8659408928613033,0.8112979728326315,0.8601161651328291,0.8681953198274793,0.8740869428322261,0.8636327879053805,0.8636857294557181,0.8514731233313289,0.8667346918319411,0.85675823868208,0.85300481641338,0.8708080182301227,0.8267029016607949,0.8767845873442219,0.8701626693413927,0.8569157503313212,0.8618773387481542,0.8722027561095235,0.8721890147939743,0.8071478391302058,0.8529716345082468,0.8623691902538559,0.8657005357664593,0.8522156293598128,0.8429316931011284
Arabic,0.8928584109575016,0.8809488751911895,0.855221758040744,1.0,0.8634416225743387,0.8691673089801344,0.8889747489875551,0.8279839518046065,0.888686694579323,0.8630276060277738,0.8546790576459175,0.8888678041095694,0.8866821278298957,0.8920187166291081,0.8732437102307542,0.8729002991606872,0.8806986311661329,0.8931626039156609,0.8720614033029513,0.8749301481691085,0.8913784792301529,0.8247664200295116,0.8921031946244039,0.86650178672564,0.8791639139786601,0.8681144807471037,0.8757363773993414,0.8684128852031282,0.8884242678186841,0.8559969762309443,0.8550224358701765,0.8258604562272474,0.871491823251844,0.6966921301518093,0.8696521573785134,0.8802780934372908,0.8067328218951496,0.8761686343772972,0.8597566034085324,0.8672300843397739,0.8802951947534967,0.8789382673228922,0.874682898591617,0.8861312500959625,0.8693906350150886,0.8731514077569195,0.8825002542664099,0.8265701011726329,0.8656618245588856,0.8994243125439023,0.8671164139814491,0.8786706062647461,0.8633006786037059,0.8617299632102676,0.8243237367410633,0.8647504025296888,0.8722238609945859,0.8715707830460069,0.8452018578955117,0.8602400453615815
Belarusian,0.8790221430964823,0.9021488064689595,0.8559516177959346,0.8634416225743387,1.0,0.8920091184637465,0.9060852480940402,0.8272836446251638,0.8937989136695019,0.8851320560954767,0.8419796101443918,0.8960050316147123,0.9051865825897439,0.895192345156899,0.8953400292602832,0.9007173613652344,0.8811189704472457,0.9051545780467675,0.8895921053168542,0.893768171184707,0.8910083483783059,0.8295062613456846,0.8920405677318389,0.8851468319668527,0.8828000846763018,0.8987281635544603,0.8927114824819364,0.8816406483719531,0.8815776098404363,0.8913380435507493,0.8598808521030042,0.8397970725279604,0.9179489995588892,0.682546857598932,0.9133073805435422,0.9069942566205283,0.8162932458964911,0.8950111189226359,0.8784793431811799,0.8909513970967411,0.9035037897447515,0.8847142948282889,0.9062305056674915,0.9043923748387869,0.8991516478268186,0.9314447569745041,0.906928253616098,0.8265189224044053,0.8881771456913593,0.8928498516634755,0.8726492467862096,0.9048556167723829,0.8850009179011106,0.8819569392420715,0.8616074903176315,0.8726833851624718,0.9482171966324823,0.8864023772431925,0.8703012594906903,0.8874951119509492
Bengali,0.8845449222598853,0.9124118383684807,0.8701014802503175,0.8691673089801344,0.8920091184637465,1.0,0.8981561187756264,0.8415387231274465,0.8996797631511874,0.901994841875819,0.8481461134089279,0.8905507364723027,0.8959675656071977,0.9019310838898998,0.9020067745418694,0.9075410055331838,0.8920742199622792,0.9106357682268788,0.8911123983086714,0.9003219619022175,0.9044992274397695,0.8376544560110794,0.89469410711035,0.9303886554299989,0.8853740941853937,0.9041847501669493,0.9112009582901706,0.8988201141157198,0.8857741825682746,0.8943329755278844,0.8775755463743216,0.8517367294934958,0.9082355284672733,0.6886916111887873,0.8966177809342953,0.9065610033247771,0.8163153312388328,0.9174925443639207,0.9097097833886365,0.9327761096135176,0.9128980448325418,0.9141962392188708,0.8959419593130333,0.9115840140644207,0.9092980952074524,0.9010154295259613,0.8987197294026918,0.8631592095963716,0.9181345719405916,0.9002614711267207,0.8913274775982819,0.9124729931974022,0.9209689171646434,0.9203330908980882,0.864562153880313,0.8920106922622093,0.9071603216781874,0.9341705870052402,0.8756697036444488,0.8982902831687147
Bulgarian,0.9089089588525089,0.9169489027249741,0.8694708842382485,0.8889747489875551,0.9060852480940402,0.8981561187756264,1.0,0.8444519303303681,0.9171669926070445,0.8939339047332523,0.8803860911515744,0.9444000399464898,0.9303805452157284,0.9325446021482838,0.9111155209256923,0.9194785993370121,0.9216459517807268,0.9292317235712579,0.8990557517223243,0.914995544987507,0.9292553494741956,0.8413033486164826,0.929269049084438,0.8913049805611966,0.9208941403462101,0.9055107263644722,0.9083523083395642,0.8906287230783189,0.9105610705895757,0.8933700403711642,0.8781360922347733,0.846657242751902,0.9162901916354754,0.7029664660684225,0.9194014232325619,0.9365789925346464,0.8248535820610446,0.9079276555215587,0.8844068137561788,0.898888112659727,0.9235948575860027,0.903130438525866,0.9137453022741469,0.9258754420749097,0.912598377675005,0.923792565267997,0.9338089615131804,0.8378726103135788,0.89602408309344,0.9235314126438082,0.8855931673687512,0.9194541522193473,0.8931738923015143,0.8914285968811767,0.8538983172716819,0.8885343488421309,0.9278532840145524,0.8979109901018476,0.8733185304131865,0.8917584667099667
Burmese,0.8513658681325922,0.8380883230297105,0.826071797022883,0.8279839518046065,0.8272836446251638,0.8415387231274465,0.8444519303303681,1.0,0.8428025501681832,0.8496931140868395,0.8315593924071482,0.8436810388669321,0.8410813654525188,0.8415884405048057,0.8242932744196169,0.8317355484918387,0.8286087266162157,0.8413976246184357,0.8227615611097301,0.8268941944372109,0.8360439179634529,0.7902951458707279,0.8366007529510221,0.820303428480296,0.8375612905006421,0.8241365371513404,0.8331708241871301,0.8164058308104203,0.8331387917274631,0.8340105456528817,0.8242737051003229,0.7909524589907009,0.8291632337806386,0.6823859561915223,0.8366943396965401,0.8297167933820133,0.7793892330294677,0.8413037283377766,0.837260420849079,0.8451433495110952,0.8303308602465301,0.8371537839760315,0.8256070714818261,0.8362462805268217,0.8277472910310447,0.8271833436471856,0.8380550555306893,0.778003434631214,0.8503240258511908,0.8435603695699961,0.81352215363463,0.8284165435548009,0.8429592844065802,0.8397088669960802,0.7976537777916402,0.8218826764714183,0.8287356202459855,0.8331178970059862,0.8169397787690869,0.8273720874615814
Catalan,0.907948028261365,0.9145149600477739,0.8690490031926309,0.888686694579323,0.8937989136695019,0.8996797631511874,0.9171669926070445,0.8428025501681832,1.0,0.8871850753642346,0.8567913278133057,0.9146291233088982,0.9167497476924287,0.9197302312328094,0.9084383693636476,0.9093485487420986,0.9052855390459202,0.9317064849860702,0.8936374637449885,0.9060147160597467,0.920951812058056,0.8432492274840354,0.9053268684833625,0.894150793975345,0.9087167816814472,0.9009459148916431,0.9042989588267458,0.8951099909752493,0.9243448067806092,0.8840972827155728,0.8695795257908577,0.8499044168317192,0.9053029820395293,0.7088383266452477,0.904244421930493,0.9136900495630308,0.8310277578492169,0.9050550303942907,0.8817225216499304,0.8942987230326465,0.9154777589017917,0.9036571098065733,0.9065943061526633,0.9308931905602403,0.9159660579663105,0.9022854156034572,0.9110061218530651,0.8418857681662574,0.8907708258186432,0.9482753605955474,0.8914440931925399,0.9134403279396063,0.8890390223394589,0.8876595638276412,0.8488985044614206,0.888265203180042,0.9055616134236093,0.8984000959683277,0.8694156773419193,0.8877455170800016
Khmer,0.8791480310888122,0.9050160993902737,0.8571216814960764,0.8630276060277738,0.8851320560954767,0.901994841875819,0.8939339047332523,0.8496931140868395,0.8871850753642346,1.0,0.862139063401844,0.883613972526801,0.8904747089459757,0.898956830904332,0.8924388001316175,0.8955993771855407,0.8853398433090333,0.9056445940219,0.8758569251701046,0.8931132452962015,0.8902673400229577,0.8492200306038826,0.8945360225380402,0.8927376582734748,0.877536155824568,0.8998579943956906,0.9089423891685791,0.8842500589446034,0.8768884854152688,0.881611402919314,0.8664449907191489,0.8383717412500196,0.8985267315098673,0.6883759363941249,0.8936646077041404,0.895581047998963,0.8249387666347844,0.9164913470888992,0.8822389488986598,0.9019382437069907,0.9049506705351806,0.8910182069598147,0.890198410221775,0.9056582760989327,0.8978205792555631,0.8939117609009167,0.8903396962387099,0.8375220879983627,0.8991524037953453,0.8934027939668141,0.8837869141096144,0.902237903460238,0.8983109272338631,0.8961982441226694,0.878375495557831,0.8756131726416673,0.8973524596429269,0.8942452929657482,0.8605316453950445,0.9101799033590727
Chinese,0.8742813653946024,0.85960798710589,0.832784108497217,0.8546790576459175,0.8419796101443918,0.8481461134089279,0.8803860911515744,0.8315593924071482,0.8567913278133057,0.862139063401844,1.0,0.8794313553890019,0.8681457456124664,0.8778427348214842,0.8526457854210747,0.8538676785034801,0.8717107238278936,0.8676289632355033,0.8401334961808085,0.8532671104340505,0.8573106604117222,0.8112167875777019,0.8774283385043516,0.83640119058397,0.8668625134818666,0.8440537171798108,0.8646798624692188,0.8333762628860739,0.8638127491258799,0.8526024927048642,0.8533891946270357,0.8004365885317477,0.8500234069529754,0.6818293974256406,0.8597511736058283,0.8466165467832883,0.8018760378646632,0.8616670310268154,0.8464212670974866,0.8539132849033931,0.8564377942287672,0.8482232649075707,0.848562717722506,0.8603692383141296,0.8312340895946025,0.8573152693771429,0.8596094533563368,0.7927653504118488,0.8596454835326997,0.8668245013310182,0.8277982098996365,0.8507451491000253,0.853110033558195,0.8464871828640445,0.8198196213217952,0.8378870869133531,0.8540518189460087,0.8386084915217341,0.8382651919259291,0.8608931678597895
Croatian,0.909022068082434,0.9102315440591902,0.8633754179031353,0.8888678041095694,0.8960050316147123,0.8905507364723027,0.9444000399464898,0.8436810388669321,0.9146291233088982,0.883613972526801,0.8794313553890019,1.0,0.9339919634196541,0.929055346101058,0.9040268322730187,0.9142739710714815,0.9192164946288898,0.922569845544888,0.8947772576662292,0.9077266160751691,0.9184596400001499,0.8394089921465493,0.9240072350003931,0.881773464993031,0.9222940275542504,0.8960875613039664,0.9027449648125395,0.8835951292407778,0.9121460991693072,0.8857861484223339,0.8731623171371994,0.842004726476778,0.9066429329143644,0.7081584307741372,0.9130829818882724,0.923913350318701,0.8259141952378835,0.9010352050051633,0.8776257501973136,0.8892458210135966,0.914238706794834,0.8971945167377716,0.9117330600376651,0.9177595036061603,0.9027745573105656,0.9116307080705565,0.9467139902912726,0.8306003863325386,0.8878946882045958,0.9193033379489085,0.8810853664007715,0.9094450240299347,0.8841325322669504,0.8835704260545589,0.8409469956934608,0.8846821111480464,0.9157791709329638,0.8892408077876517,0.8696961098401021,0.8831659311859257
Czech,0.9047823080890527,0.918408271834529,0.8691986299458451,0.8866821278298957,0.9051865825897439,0.8959675656071977,0.9303805452157284,0.8410813654525188,0.9167497476924287,0.8904747089459757,0.8681457456124664,0.9339919634196541,1.0,0.9307826336592427,0.9131148069618876,0.9219722974836757,0.9200269716931894,0.925869042232971,0.8996448042440496,0.919562694364325,0.9183868146146722,0.837233941063505,0.9186775585816971,0.8941936078037204,0.9222450737620616,0.9058740823693356,0.9091775868625888,0.8924371029857897,0.9162513298106977,0.8917983702820548,0.8787338316096354,0.8426516087123482,0.9187944059948594,0.7001785341078914,0.9221060338659602,0.9199533471199953,0.8278674571431603,0.9066155058154259,0.8843226800591284,0.8961189675918426,0.9235601597333012,0.901479201075753,0.9228410823225134,0.9212493672413997,0.9116062968491367,0.9198672556249412,0.9229358457748627,0.8348013738035517,0.8917944017446325,0.9212344152765701,0.8891826324156888,0.9208206944102513,0.891735067693672,0.8895749538888417,0.8551704400381701,0.893314962642693,0.921379380365576,0.8964290095955486,0.8730288453527825,0.8900260100358461
Danish,0.9169797635641443,0.9342118559562832,0.8685432117438933,0.8920187166291081,0.895192345156899,0.9019310838898998,0.9325446021482838,0.8415884405048057,0.9197302312328094,0.898956830904332,0.8778427348214842,0.929055346101058,0.9307826336592427,1.0,0.9293255872759655,0.9268294389672406,0.9293139078494858,0.9378534467971974,0.8958874598918292,0.9294702757859347,0.9273417623608122,0.8445191692509533,0.9277554527214026,0.9002221484771977,0.9222014057410464,0.9223662253442946,0.9171776661382441,0.9052823596108548,0.9157281883498257,0.8886889086220813,0.8835172761454235,0.8472315300757474,0.9166701675458512,0.7001450350455953,0.9156621540148382,0.9217289825749011,0.8267446993679479,0.9138335101191315,0.8894046980901532,0.9040348310687415,0.9625237366211233,0.9039568019609889,0.9170459090505892,0.9329805548305427,0.917011750568427,0.9163579909282928,0.9198742343111875,0.8428039471806162,0.8999574438173952,0.9315599015716054,0.8920945317558507,0.9474035642740855,0.9004171864345708,0.8991376910500422,0.8586680277600791,0.8948692517834095,0.9149874225637105,0.9028244978094022,0.8706636623265492,0.8978389254153526
Dutch,0.8786198508519328,0.9354093422621963,0.8569693927549445,0.8732437102307542,0.8953400292602832,0.9020067745418694,0.9111155209256923,0.8242932744196169,0.9084383693636476,0.8924388001316175,0.8526457854210747,0.9040268322730187,0.9131148069618876,0.9293255872759655,1.0,0.9151670951618176,0.9020374635107341,0.9369156111890558,0.8866813068287364,0.9368905350956112,0.9139398270587348,0.8284074215940999,0.9047917140679818,0.9126654344246221,0.9009977029759327,0.917892001806439,0.9192404647004478,0.9015998607071597,0.9077033496894142,0.8812745496873019,0.8805267135961122,0.8352071698683567,0.9149446185790234,0.6701416368666229,0.9078486257613512,0.9187984453818111,0.8122701322518612,0.9135238668530548,0.8867252593247876,0.9043878552073136,0.9382408738175758,0.9013376051354028,0.9233585382723404,0.9337234326933183,0.9218009566528129,0.9207998959777617,0.9065620799276418,0.8291416429022224,0.8970032871371725,0.9216020306679963,0.8871715316002603,0.937612308401527,0.8994002351737422,0.8985439641544887,0.8662782585283103,0.8974609229678384,0.9181367479088778,0.9025878780347847,0.8599740533549484,0.9085376494659384
Estonian,0.8860561272264255,0.9200102796327767,0.8616500485120627,0.8729002991606872,0.9007173613652344,0.9075410055331838,0.9194785993370121,0.8317355484918387,0.9093485487420986,0.8955993771855407,0.8538676785034801,0.9142739710714815,0.9219722974836757,0.9268294389672406,0.9151670951618176,1.0,0.928586652635625,0.9228992245273666,0.8999394666785154,0.9147377557511353,0.9151903904381203,0.8363967251608698,0.9104162564117462,0.9051881941597054,0.9140786026942178,0.91867956311504,0.9170591630144143,0.8956426645719328,0.9009165023866026,0.8979683138137341,0.871376671990696,0.8433759666734691,0.9267433686346275,0.6894055388648677,0.9197417028223586,0.9209540317667514,0.8249614028204334,0.9156318704063813,0.8861849695217433,0.9021521736419771,0.9297700233448082,0.9056216767527783,0.9176929441935793,0.922883283660507,0.9171143016432518,0.9160537490082985,0.9138407999845831,0.8415616797361083,0.8943379986527511,0.9136257071462655,0.8961901714241252,0.9254431336469338,0.8974197500283075,0.8949135614176951,0.8532281938963835,0.8959383360262355,0.9206182852343486,0.9029147989228227,0.8769797182595029,0.8990363157335658
Finnish,0.902294302907076,0.9070934096494713,0.8573526881806479,0.8806986311661329,0.8811189704472457,0.8920742199622792,0.9216459517807268,0.8286087266162157,0.9052855390459202,0.8853398433090333,0.8717107238278936,0.9192164946288898,0.9200269716931894,0.9293139078494858,0.9020374635107341,0.928586652635625,1.0,0.9147320535925566,0.8926598642810851,0.9041959423033463,0.9141052114949179,0.8349592481950329,0.9144028508054327,0.8863626495063738,0.9195540283685998,0.9010540071852745,0.90633764641135,0.8844647635932151,0.9031394208554434,0.882528526406532,0.8706003203730275,0.8389090527038982,0.9033204324104472,0.6973488703337197,0.9027445694068166,0.9042358417090816,0.8252347117870028,0.9042813435434327,0.8739593673457811,0.8873842178896177,0.9170378278548003,0.89502980173357,0.9008079537663891,0.9105326286405416,0.8971060125003737,0.8982164228841931,0.9059241848937567,0.8363176513863296,0.8844701657897692,0.9131785370106167,0.8851269788683724,0.914872870842773,0.8858317719164985,0.8838746448445585,0.8411229345290047,0.8843392049378374,0.8998405910491755,0.8884711648581539,0.8681004549161168,0.8816774024371027
French,0.9027551404939953,0.9344613135898506,0.8673991154869674,0.8931626039156609,0.9051545780467675,0.9106357682268788,0.9292317235712579,0.8413976246184357,0.9317064849860702,0.9056445940219,0.8676289632355033,0.922569845544888,0.925869042232971,0.9378534467971974,0.9369156111890558,0.9228992245273666,0.9147320535925566,1.0,0.9003674692407586,0.9343157878978104,0.930537780549368,0.8465283813176157,0.9194481178999561,0.9132167839422184,0.914229027723587,0.920579658270621,0.9260066637797223,0.9088972957869911,0.931065579399629,0.8933695462667999,0.8906630160317924,0.845660041311968,0.9219205116768876,0.6906716746276972,0.9170649721104261,0.927226664124014,0.829965384474882,0.9232784298700158,0.8938024375173201,0.9120933520149289,0.939898862348904,0.9129262953329816,0.9301616658288615,0.9505929335304344,0.9333937896732893,0.9288238361771984,0.9183745103063782,0.8406403665096909,0.9038213279308674,0.9411985935371727,0.8989775046219342,0.9387466588997198,0.9058057208487421,0.9035152458804733,0.8759037933471667,0.9058290762135116,0.9244717382764249,0.9094087137777965,0.8727389255441235,0.9131042482069921
Georgian,0.8851550204898017,0.8931210542683664,0.8623167872944557,0.8720614033029513,0.8895921053168542,0.8911123983086714,0.8990557517223243,0.8227615611097301,0.8936374637449885,0.8758569251701046,0.8401334961808085,0.8947772576662292,0.8996448042440496,0.8958874598918292,0.8866813068287364,0.8999394666785154,0.8926598642810851,0.9003674692407586,1.0,0.8923414137805954,0.9005605035199274,0.8264015813932729,0.8964862454850158,0.8859225489059647,0.8902715252920094,0.8898038951852473,0.890066377922136,0.8801548805404165,0.8882375023847836,0.8846850590467269,0.8619976242157313,0.8384774749369794,0.9004660985249557,0.7020586754129351,0.8994975595840669,0.9027054357049306,0.8157667765885863,0.8894198772147992,0.8748529910773629,0.8849896985951379,0.895377713032203,0.897068593890066,0.8925084781130836,0.8983729961522808,0.8949240021251734,0.8961124017101105,0.8966019266371514,0.8396818244858019,0.8782639401433326,0.898122707699063,0.8770420072493988,0.8955439261331845,0.8830626554443438,0.8830734816773789,0.8345500274404564,0.8760805210816494,0.9035432837515268,0.889987155510976,0.8678306587730458,0.8726965903050334
