Sentence,Type,Source
"I really need to go to work, but I am too sick to drive.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"I am counting my calories, yet I really want dessert.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"He ran out of money, so he had to stop playing poker.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"They got there early, and they got really good seats.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"They had no ice cream left at home, nor did they have money to go to the store.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"Everyone was busy, so I went to the movie alone.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"I thought the promotion was mine, but my attendance wasn't good enough.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"Should we start class now, or wait for everyone to get here?",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"It was getting dark, and we weren't near the cabin yet.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"Cats are good pets, for they are clean and are not noisy.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"We have never been to Asia, nor have we visited Africa.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"He didn't want to go to the dentist, yet he went anyway.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
The sky is clear; the stars are twinkling.,Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
Joe made the sugar cookies; Susan decorated them.,Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
The waves were crashing on the shore; it was a lovely sight.,Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
Check back tomorrow; I will see if the book has arrived.,Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
I am happy to take your donation; any amount will be greatly appreciated.,Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
Malls are great places to shop; I can find everything I need under one roof.,Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
Italy is my favorite country; I plan to spend two weeks there next year.,Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
He turned in the research paper on Friday; he would have not passed the class otherwise.,Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
She bought a cheeseburger for her friend; she forgot the fries.,Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
He loved the dog; he gave it many treats.,Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"It was a difficult assignment; however, Kelly was up to the challenge.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"There were white-out conditions in the town; therefore, the roads were impassable.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"He said he was not there yesterday; however, many people saw him there.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"She only paints with bold colors; indeed, she does not like pastels at all.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"She works two jobs to make ends meet; at least, that was her reason for not having time to join us.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"You need to pack the appropriate things for camping; for example, a sleeping bag will keep you warm.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"I have paid my dues; as a result, I expect to receive all the privileges listed in the bylaws.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"He ate seven sandwiches for lunch; afterward, he felt ill.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"Her knees ached from jogging; moreover, her shoes were starting to wear out.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"His friends canceled dinner plans that night; on the other hand, he didn’t really want to go in the first place.",Compound,https://www.yourdictionary.com/articles/examples-compound-sentences
"I like doing the Christmas tree, and I would love for you to join.",Compound,https://byjus.com/english/compound-sentences/
"Are you coming with me, or are you going to the auditorium?",Compound,https://byjus.com/english/compound-sentences/
"He was not well, yet he decided to go to work.",Compound,https://byjus.com/english/compound-sentences/
"I am ready to go, but my brother has not reached home yet.",Compound,https://byjus.com/english/compound-sentences/
"Jerry did not complete his homework, so the teacher punished him.",Compound,https://byjus.com/english/compound-sentences/
"My brother should drop me, or I cannot make it to the reception.",Compound,https://byjus.com/english/compound-sentences/
The dress is too tight; I don't think I am going to buy this.,Compound,https://byjus.com/english/compound-sentences/
He likes Marvel movies; he would probably watch all of it at one stretch.,Compound,https://byjus.com/english/compound-sentences/
Try to focus on your studies; everyone else is working really hard and improving their grades.,Compound,https://byjus.com/english/compound-sentences/
"It was not easy to do it; however, Ashwin managed to complete it.",Compound,https://byjus.com/english/compound-sentences/
"We have to complete it; otherwise, we will have to face the consequences.",Compound,https://byjus.com/english/compound-sentences/
"The cleaning work was being done by all the kids; meanwhile, we found a way to sort out their cupboards.",Compound,https://byjus.com/english/compound-sentences/
"All the employers have been requesting for a change in working hours for many months now; however, the company has not made any changes yet.",Compound,https://byjus.com/english/compound-sentences/
"My parents want me to become an IAS officer, but I want to become a teacher.",Compound,https://byjus.com/english/compound-sentences/
"My mom was too tired, yet she cleaned the house.",Compound,https://byjus.com/english/compound-sentences/
"My father is back home; however, we don't know when he will leave again.",Compound,https://byjus.com/english/compound-sentences/
Study well or you will not pass.,Compound,https://byjus.com/english/compound-sentences/
"Although he works long hours, he always finds time to spend with his family.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
She always wears jewelry that matches her outfit.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"While my brother enjoys spicy food, I prefer milder flavors.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Several crops grow here, even though it rarely rains in this region.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Though he is talented, he often underestimates his own abilities.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Although the company faces tough competition, it continues to thrive in the market.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"I think you’d like this book, since you love historical fiction.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
He always studies a lot before he takes a test.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"I sometimes walk to work, as long as the weather is good.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"My mother stays up late, whereas my father goes to bed earl",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"After she finished her studies, she traveled around Europe for six months.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Although they were tired, they stayed up late to finish their project.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
He immediately called for help when he saw the accident.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
My kids often misbehaved whenever they had a babysitter.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Since he sold his car, he had to take the bus to work.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"She didn’t ride the roller coasters, even though she was old enough to do so.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"When they arrived at the restaurant, they realized it had already closed.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
I stayed awake until my husband got home from work.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Before he left his job, he wrote a number of training manuals.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"She performed very well on stage, though she was quite nervous.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"After I finish my degree, I will pursue a career in environmental conservation.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"She will visit her grandparents next weekend, as she hasn’t seen them in months.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Once the project is complete, the company will launch its new product on the market.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"By the time I graduate, I will have traveled to at least five different countries.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
We’re going to clean the bathrooms after we’re done cleaning the kitchen.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
They will be driving to Florida since flights are too expensive.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Electric cars will become more popular in a few years, even though they’re not very common now.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
I’m going to start preparing dinner before I leave for work.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Once the renovations are finished, the house will be even more beautiful.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
I won’t lend you any more money until you pay me back.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"While I was studying for my exam, my friends were watching a movie.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
They will be traveling to Europe while we are attending the conference.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"As the sun was setting, the children were playing in the park.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
I was cleaning the house all evening after I saw how dirty it was.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
I’ll be waiting for you at the café until you finish your meeting.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"When I finish my work, I will join you for dinner.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
I had cleaned the whole house before we left for vacation.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
He couldn’t go to the party because he was feeling sick.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
I’m not buying anything else this month since I’ve already spent too much.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"As soon as they receive the necessary materials, they will start the project.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Once she finishes her degree, she plans to travel the world.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
I was exhausted because I had been working all day.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Now that the rain has stopped, we can go outside.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
He will buy a new car once he saves enough money.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Since she doesn’t have any prior experience, she decided to take a training course.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"If it rains tomorrow, we will stay indoors and watch movies.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
She won’t pass the exam unless she studies a lot.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"If I won the lottery, I would travel around the world.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
He would have gone to the party if he hadn’t been so tired.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"If I had known about the event, I would have attended.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
She will be late if she doesn’t catch the early bus.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"If the children finish their chores, they can go to the park.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
We won’t eat a big dinner if we’re not very hungry.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"If you eat too much junk food, you will gain weight.",Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
She could earn more money if she had a better job.,Complex,https://www.espressoenglish.net/complex-sentences-50-examples/
"Even though he was worried, he tried to put it out of his mind.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
My sister puts on makeup whenever she goes out.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"If you want me to make dinner, we’ll be having pasta.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
I walked to the fridge because I was hungry.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"She went to work, even though she was tired.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Since you did your chores, you can go play.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Now that she feels better, she wants to go back to school.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
I ordered cake because I know it’s your favorite.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"It’s raining in Seattle, whereas it’s sunny in Miami.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"While they were on vacation, their house sitter stayed with their dog.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
She drove even though she prefers to fly.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"After they left the movie theater, they walked to a nearby restaurant.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
Remember to brush your teeth before you go to bed!,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"When I grow up, I want to teach grammar.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"If you like pancakes, you’ll love waffles.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
He left the light on in case she came home late.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
Please call me back even if it’s late.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
She got up to let the cat out while the rest of the family was still asleep.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Since the rest of the family was still asleep, she got up to let the cat out.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Even though the rest of the family was asleep, she got up to let the cat out.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Now that spring is here, it’s time to clean the house.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
It’s time to clean the house now that spring is here.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"If you’re still hungry, have some carrots.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
Have some carrots if you’re still hungry.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
She bought herself a red dress even though she looks better in blue.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Even though she looks better in blue, she bought herself a red dress.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
They stayed at the beach until the sun went down.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Until the sun went down, they stayed at the beach.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
He called his mother because he missed her.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Since you’re getting paid today, let’s go out for drinks!",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
The passenger stepped off the train once it had reached the station.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
I would love to travel the world after I finish with school.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"If we let them, robots will take over the world.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
You have to do your homework whether you like it or not.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"While he enjoys skateboarding, surfing is really his favorite.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
We’re going to have to walk unless the bus shows up soon.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Now that she has graduated college, she’s going to have to pay her own expenses.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"You can call me anytime, even if it’s late.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
Financial advisors recommend having some savings in case there’s an emergency.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Even though books are expensive, they’re worth every penny.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Whenever she feels blue, she listens to her favorite song.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
People who want to get healthy should walk rather than drive.,Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Because they’re opportunistic sleepers, dogs take naps whenever they can.",Complex,https://blog.udemy.com/example-of-a-complex-sentence/
"Since finals week was around the corner, the library was very busy.",Complex,Siddhi
"The whiteboard was right next to her, but she didn't feel the need to use it.",Complex,Akshat